,Star_name,Distance,Mass,Radius,gravity
263,2MASSW J1841086+311727,138,67,1.01,18013.95335534894
264,2MASS J18432213+4040209,46,96,1.22,17690.02922609453
265,2MASS J20004841-7523070,105,25,1.88,1939.9980297898792
266,SDSS J204749.61-071818.3,65,46,0.96,13689.649986046441
267,2MASSI J2057540-025230,47,70,1.02,18453.326895588405
268,2MASSW J2101154+175658,108,,,
269,2MASSI J2104149-103736,62,69,1.02,18189.707939937143
270,PSO J318.5−22,80,6.5,1.53,761.5658718814262
271,HB 2124-4228,113,94,1.21,17608.975600846905
272,2MASS J21392676+0220226,32.1,46,0.96,13689.649986046441
273,2MASS J21481628+4003593,26.3,55,0.99,15391.086501659593
274,2MASS J14112131-2119503,,,,
275,2MASSW J2206450-421721,93,22,1.33,3411.1151292388645
276,2MASSW J2208136+292121,154,27,1.41,3724.796217196568
277,2MASSW J2224438-015852,38,61,0.99,17070.11412002246
278,2MASS J22282889-4310262,35,42,0.94,13036.786760187986
279,2MASS J22373255+3922398,64,73,1.04,18511.13978046311
280,2MASSW J2244316+204343,56,12,1.29,1977.7837494831363
281,2MASS J23224684-3133231,56,24,1.39,3406.8939884218084
282,2MASS J23225299-6151275,148,17,1.59,1844.300361857821
283,2MASS J23515044-2537367,67,88,1.16,17936.74658772481
284,2MASSI J2356547-155310,74,80,1.09,18467.749277641542
285,WISE 0005+3737,23.2,,,
286,WISE 0008-1739,87.1,,,
287,WISE 0015-4615,48.6,,,
288,WISE 0031-3840,71.8,,,
289,WISE 0032-4946,62.9,,,
290,WISE 0038+2758,36.9,,,
291,WISE 0038+8405,101.8,,,
292,WISE 0040+0900,47.6,,,
293,WISE 0049+0441,62.6,,,
294,WISE 0049+2151,24.1,,,
295,WISE 0106+1518,142.9,,,
296,WISE 0123+4142,67.2,,,
297,WISE 0135+1715,77.3,,,
298,WISE 0138-0322,57.7,,,
299,WISE 0146+4234,20.5,,,
300,WISE 0148-7202,30,,,
301,WISE 0150+3827,61.3,,,
302,WISE 0206+2640,58.4,,,
303,WISE 0221+3842,73.1,,,
304,WISE 0223-2932,47,,,
305,WISE 0226-0211,91,,,
306,WISE 0241-3653,53.8,,,
307,WISE 0245-3450,56.1,,,
308,WISE 0247+3725,57.1,,,
309,WISE 0305+3954,75,,,
310,WISE 0307+2904,82.8,,,
311,WISE 0313+7807,28,,,
312,WISE 0316+4307,106.3,,,
313,WISE 0321-7347,84.8,,,
314,WISE 0323-6025,45.3,,,
315,WISE 0325-3854,51.2,,,
316,WISE 0325+0831,36.5,,,
317,WISE 0333-5856,54.8,,,
318,WISE 0335+4310,45.7,,,
319,WISE 0336-0143,55.4,,,
320,WISE 0350-5658,17.7,,,
321,WISE 0359-5401,19.2,,,
322,WISE 0410+1502,20,6,1.17,1202.1440344491518
323,WISE 0410+1411,85.8,,,
324,WISE 0413-4750,66.2,,,
325,WISE 0448-1935,69.8,,,
326,WISE 0458+6434A,35.9,15,4.2,233.22207607106628
327,WISE 0458+6434B,35.9,10,3.8,189.93709242352767
328,WISE 0500-1223,47,,,
329,WISE 0513+0608,44.7,,,
330,WISE 0525+6739,98.2,,,
331,WISE 0528-3308,57.4,,,
332,WISE 0535-7500,47,,,
333,WISE 0539-1034,84.8,,,
334,WISE 0542-1628,50.6,,,
335,WISE 0607+2429,25.4,,,
336,WISE 0611-0410,57.7,,,
337,WISE 0612-4920,95.2,,,
338,WISE 0612-3036,64.9,,,
339,WISE 0614+3912,50.2,,,
340,WISE 0614+0951,51.5,,,
341,WISE 0623-0456,37.5,,,
342,WISE 0625+5646,67.2,,,
343,WISE 0627-1114,37.2,,,
344,WISE 0647-6232,28,,,
345,WISE 0656+4205,54.1,,,
346,WISE 0713-2917,23.2,,,
347,WISE 0723+3403,45.7,,,
348,WISE 0733+7544,78.3,,,
349,WISE 0734-7157,34.9,,,
350,WISE 0744+5628,47.3,,,
351,WISE 0750+2725,51.5,,,
352,WISE 0751-7634,39.1,,,
353,WISE 0759-4904,38.8,,,
354,WISE 0811-8051,32,,,
355,WISE 0812+4021,63.6,,,
356,WISE 0819-0335,46,,,
357,WISE 0821+1443,68.2,,,
358,WISE 0836-1859,72.4,,,
359,WISE 0857+5604,42.1,,,
360,WISE 0906+4735,51.5,,,
361,WISE 0929+0409,64.9,,,
362,WISE 0952+1955,72.1,,,
363,WISE 1018-2445,47.6,,,
364,WISE 1019+6529,56.8,,,
365,WISE 1039-1600,47.3,,,
366,WISE 1042-3842,53.2,,,
367,WISE 1051-2138,40.8,,,
368,WISE 1122+2550,57.7,,,
369,WISE 1124-0421,50.6,,,
370,WISE 1147-2040,102,,,
371,WISE 1150+6302,32.9,,,
372,WISE 1217+1626A,34.2,12,,
373,WISE 1217+1626B,34.2,6,,
374,WISE 1225-1013,55.4,,,
375,WISE 1311+0122,44.4,,,
376,WISE 1311+3629,86.1,,,
377,WISE 1318-1758,32.9,,,
378,WISE 1320+6034,56.1,,,
379,WISE 1322-2340,33.9,,,
380,WISE 1348+6603,91,,,
381,WISE 1405+5534,25.3,30,0.86,11125.033590842642
382,WISE 1433-0837,84.8,,,
383,WISE 1436-1814,60,,,
384,WISE 1457+5815,52.2,,,
385,WISE 1506+7027,11.1,,,
386,WISE 1517+0529,72.4,,,
387,WISE 1519+7009,50.9,,,
388,WISE 1523+3125,84.5,,,
389,WISE 1541-2250,20,,,
